RI,Count
1.5081,1
1.5118999999999998,1
1.5124,1
1.5128,1
1.5133999999999999,1
1.5143,1
1.5146,1
1.5149,1
1.5151,1
1.5151999999999999,1
1.5152999999999999,1
1.5153999999999999,3
1.5154999999999998,5
1.5155999999999998,2
1.5156999999999998,1
1.5157999999999998,7
1.5158999999999998,13
1.516,6
1.5161,6
1.5162,7
1.5163,6
1.5164,8
1.5165,9
1.5166,16
1.5167,15
1.5168,25
1.5169,49
1.517,65
1.5171,93
1.5171999999999999,142
1.5172999999999999,145
1.5173999999999999,167
1.5174999999999998,173
1.5175999999999998,128
1.5176999999999998,127
1.5177999999999998,111
1.5178999999999998,81
1.518,70
1.5181,55
1.5182,40
1.5183,28
1.5184,18
1.5185,15
1.5186,11
1.5187,19
1.5188,33
1.5189,47
1.519,51
1.5191,64
1.5191999999999999,72
1.5192999999999999,56
1.5193999999999999,30
1.5194999999999999,11
1.5195999999999998,3
1.5196999999999998,7
1.5197999999999998,1
1.5198999999999998,2
1.5201,4
1.5202,2
1.5203,4
1.5204,2
1.5205,3
1.5206,5
1.5207,2
1.5208,3
1.5209,2
1.5211,1
1.5211999999999999,1
1.5212999999999999,1
1.5214999999999999,1
1.5215999999999998,3
1.5216999999999998,4
1.5217999999999998,12
1.5218999999999998,21
1.522,30
1.5221,25
1.5222,28
1.5223,13
1.5224,6
1.5225,3
1.5226,5
1.523,1
1.5232999999999999,1
1.5233999999999999,1
1.5236999999999998,1
1.524,1
1.5241,1
1.5242,1
1.5243,3
1.5244,1
1.5246,2
1.5247,2
1.5249,1
1.525,1
1.5253999999999999,1
1.5258999999999998,1
1.5265,1
1.5269,1
1.5272,2
1.5273999999999999,1
1.528,1
1.5287,2
1.5288,1
1.5303,2
1.5312,1
1.5322,1
1.5332999999999999,1
1.5343,1
